"year","duration","years","track","artist"
"2010","4.48","Years 2010-2019","Temporary Home","Carrie Underwood"
"2010","4.46","Years 2010-2019","LoveHate Thing","Wale Featuring Sam Dew"
"2010","3.91","Years 2010-2019","***Flawless","Beyonce Featuring Nicki Minaj Or Chimamanda Ngozi Adichie"
"2010","4.36","Years 2010-2019","No Complaints","Metro Boomin Featuring Offset & Drake"
"2010","3.68","Years 2010-2019","Change Locations","Drake & Future"
"2010","3.13","Years 2010-2019","Let Me See Ya Girl","Cole Swindell"
"2010","3.58","Years 2010-2019","Every Time I Hear That Song","Blake Shelton"
"2010","4.41","Years 2010-2019","Deja Vu","J. Cole"
"2010","2.4","Years 2010-2019","Press","Cardi B"
"2010","3.95","Years 2010-2019","Tell Me You Love Me","Demi Lovato"
"2010","3.69","Years 2010-2019","Try Me","The Weeknd"
"2010","3.62","Years 2010-2019","Yours","Russell Dickerson"
"2010","3.34","Years 2010-2019","Ocean Eyes","Billie Eilish"
"2010","3.12","Years 2010-2019","I Was Jack (You Were Diane)","Jake Owen"
"2010","4.19","Years 2010-2019","Give It All We Got Tonight","George Strait"
"2010","5.15","Years 2010-2019","When We","Tank"
"2010","3.17","Years 2010-2019","""Break Up With Your Girlfriend, I'm Bored""","Ariana Grande"
"2010","3.97","Years 2010-2019","All The Right Moves","OneRepublic"
"2010","4.6","Years 2010-2019","Know Yourself","Drake"
"2010","4.17","Years 2010-2019","Half Of My Heart","John Mayer"
"2010","5.87","Years 2010-2019","Bad Habits","Maxwell"
"2010","3.3","Years 2010-2019","Turn The Night Up","Enrique Iglesias"
"2010","3.59","Years 2010-2019","Talk That Talk","Rihanna Featuring Jay-Z"
"2010","2.93","Years 2010-2019","1400 / 999 Freestyle","Trippie Redd Featuring Juice WRLD"
"2010","3.64","Years 2010-2019","Footloose","Blake Shelton"
"2010","3.06","Years 2010-2019","Loca","Shakira Featuring Dizzee Rascal"
"2010","3.46","Years 2010-2019","Never Enough","Loren Allred"
"2010","4.21","Years 2010-2019","Let Her Go","Passenger"
"2010","2.72","Years 2010-2019","How Far I'll Go","Auli'i Cravalho"
"2010","1.4","Years 2010-2019","Love Me Harder","Ariana Grande & The Weeknd"
