"year","duration","years","track","artist"
"2000","4.04","Years 2000-2009","Viva La Vida","Coldplay"
"2000","4.6","Years 2000-2009","Turn Off The Light","Nelly Furtado"
"2000","3.09","Years 2000-2009","Pop A Top","Alan Jackson"
"2000","4.28","Years 2000-2009","Hole In The World","Eagles"
"2000","4.36","Years 2000-2009","My Love Is Your Love","Whitney Houston"
"2000","3.48","Years 2000-2009","Upside Down","Jack Johnson"
"2000","3.27","Years 2000-2009","Tough","Craig Morgan"
"2000","4.74","Years 2000-2009","ASAP","T.I."
"2000","4.26","Years 2000-2009","I Wish I Wasn't","Heather Headley"
"2000","4.18","Years 2000-2009","Nothing In This World","KeKe Wyatt Featuring Avant"
"2000","4.2","Years 2000-2009","Ain't I","Yung L.A. Featuring Young Dro & T.I."
"2000","3.83","Years 2000-2009","""Lean Wit It, Rock Wit It""","Dem Franchize Boyz Featuring Lil Peanut & Charlay"
"2000","3.6","Years 2000-2009","Good Directions","Billy Currington"
"2000","3.93","Years 2000-2009","No Better Love","Young Gunz Featuring Rell"
"2000","4.69","Years 2000-2009","When I'm Gone","Eminem"
"2000","3.12","Years 2000-2009","Get My Drink On","Toby Keith"
"2000","4.32","Years 2000-2009","Whiskey Lullaby","Brad Paisley Featuring Alison Krauss"
"2000","3.78","Years 2000-2009","The One","Backstreet Boys"
"2000","4.24","Years 2000-2009","Mad","Ne-Yo"
"2000","3.84","Years 2000-2009","""Jumpin', Jumpin'""","Destiny's Child"
"2000","3.62","Years 2000-2009","Pass That Dutch","Missy Elliott"
"2000","3.56","Years 2000-2009","Rollin'","Limp Bizkit"
"2000","3.6","Years 2000-2009","Unusually Unusual","Lonestar"
"2000","4.57","Years 2000-2009","Turn It Up","Chamillionaire Featuring Lil' Flip"
"2000","4.51","Years 2000-2009","Act A Fool","Ludacris"
"2000","4.69","Years 2000-2009","Burn","Jo Dee Messina"
"2000","3.54","Years 2000-2009","Buzzin'","Shwayze Featuring Cisco Adler"
"2000","2.98","Years 2000-2009","Tie Me Down","New Boyz Featuring Ray J"
"2000","4.38","Years 2000-2009","No Air","Glee Cast"
"2000","3.51","Years 2000-2009","Barefoot And Crazy","Jack Ingram"
"2000","4.53","Years 2000-2009","Can't Tell Me Nothing","Kanye West"
"2000","4.08","Years 2000-2009","It Ends Tonight","The All-American Rejects"
"2000","3.54","Years 2000-2009","Shut Up And Drive","Rihanna"
"2000","3.84","Years 2000-2009","It's Five O'Clock Somewhere","Alan Jackson & Jimmy Buffett"
"2000","3.68","Years 2000-2009","You Shouldn't Kiss Me Like This","Toby Keith"
"2000","3.46","Years 2000-2009","Honestly","Cartel"
"2000","3.61","Years 2000-2009","In The End","Linkin Park"
"2000","3.41","Years 2000-2009","Do Somethin'","Britney Spears"
"2000","5.03","Years 2000-2009","I Believe","Fantasia"
"2000","3.96","Years 2000-2009","Hotel Room Service","Pitbull"
"2000","4.39","Years 2000-2009","Get Up","Ciara Featuring Chamillionaire"
"2000","3","Years 2000-2009","Bonfire","Craig Morgan"
"2000","3.48","Years 2000-2009","Trying To Find Atlantis","Jamie O'Neal"
"2000","3.69","Years 2000-2009","Redneck Woman","Gretchen Wilson"
"2000","4.63","Years 2000-2009","Need You Now","Lady Antebellum"
"2000","3.53","Years 2000-2009","The Hand That Feeds","Nine Inch Nails"
"2000","3.61","Years 2000-2009","Baby Don't Go","Fabolous Featuring Jermaine Dupri"
"2000","5.59","Years 2000-2009","I Love This Bar","Toby Keith"
"2000","3.31","Years 2000-2009","U Already Know","112 Featuring Foxy Brown"
"2000","4.78","Years 2000-2009","Luv U Better","LL Cool J"
"2000","3.1","Years 2000-2009","Do It Well","Jennifer Lopez"
"2000","4.12","Years 2000-2009","Shadowplay","The Killers"
"2000","3.69","Years 2000-2009","I'm Tryin'","Trace Adkins"
"2000","3.37","Years 2000-2009","She Only Smokes When She Drinks","Joe Nichols"
"2000","4.57","Years 2000-2009","What You Know","T.I."
"2000","3.58","Years 2000-2009","Mamma Mia","Meryl Streep"
"2000","3.35","Years 2000-2009","MJB Da MVP","Mary J. Blige Featuring The Game & 50 Cent"
"2000","3.95","Years 2000-2009","Feel Good Time","P!nk Featuring William Orbit"
"2000","3.95","Years 2000-2009","Hemorrhage (In My Hands)","Fuel"
"2000","3.27","Years 2000-2009","Good Girls Go Bad","Cobra Starship Featuring Leighton Meester"
"2000","3.78","Years 2000-2009","Love Drunk","Boys Like Girls"
"2000","3.76","Years 2000-2009","There's Nothin","Sean Kingston Featuring Elan & Juelz Santana"
"2000","3.21","Years 2000-2009","Gasolina","Daddy Yankee"
"2000","3.48","Years 2000-2009","More Like Her","Miranda Lambert"
"2000","4.03","Years 2000-2009","The Space Between","Dave Matthews Band"
"2000","3.07","Years 2000-2009","I Wanna Talk About Me","Toby Keith"
"2000","4.76","Years 2000-2009","Stranger In My House","Tamia"
"2000","4.69","Years 2000-2009","Things That Matter","Rascal Flatts"
"2000","4.8","Years 2000-2009","BedRock","Young Money Featuring Lloyd"
"2000","4.52","Years 2000-2009","Grillz","""Nelly Featuring Paul Wall, Ali & Gipp"""
"2000","2.76","Years 2000-2009","""Why, Why, Why""","Billy Currington"
"2000","3.74","Years 2000-2009","Wat Da Hook Gon Be","Murphy Lee Featuring Jermaine Dupri"
"2000","3.95","Years 2000-2009","Truth Is","Fantasia"
"2000","3.7","Years 2000-2009","Let's Go","Trick Daddy Featuring Lil Jon & Twista"
"2000","3.81","Years 2000-2009","""Ready, Set, Don't Go""","Billy Ray Cyrus With Miley Cyrus"
"2000","3.88","Years 2000-2009","If I Was Your Man","Joe"
"2000","3.48","Years 2000-2009","Every River","Brooks & Dunn"
"2000","4","Years 2000-2009","Bring On The Rain","Jo Dee Messina With Tim McGraw"
"2000","4.29","Years 2000-2009","Good Is Good","Sheryl Crow"
"2000","4.87","Years 2000-2009","You Raise Me Up","Josh Groban"
"2000","3.32","Years 2000-2009","Behind These Hazel Eyes","Kelly Clarkson"
"2000","3.87","Years 2000-2009","Who I Am Hates Who I've Been","Relient K"
"2000","2.98","Years 2000-2009","The Truth About Men","Tracy Byrd"
"2000","2.69","Years 2000-2009","Gotta Get Thru This","Daniel Bedingfield"
"2000","3.79","Years 2000-2009","My Destiny","Katharine McPhee"
"2000","4.17","Years 2000-2009","There It Is","Ginuwine"
"2000","3.33","Years 2000-2009","Before He Cheats","Carrie Underwood"
"2000","3.4","Years 2000-2009","Heard 'Em Say","Kanye West Featuring Adam Levine"
"2000","3.11","Years 2000-2009","Good Times","Tommy Lee"
"2000","4.35","Years 2000-2009","teachme","Musiq Soulchild"
"2000","3.17","Years 2000-2009","Country Man","Luke Bryan"
"2000","3.72","Years 2000-2009","Wall To Wall","Chris Brown"
"2000","4.29","Years 2000-2009","Best Of Intentions","Travis Tritt"
"2000","4.39","Years 2000-2009","Read Your Mind","Avant"
"2000","2.46","Years 2000-2009","Be OK","Ingrid Michaelson"
"2000","4.47","Years 2000-2009","Shortie Like Mine","Bow Wow Featuring Chris Brown & Johnta Austin"
"2000","3.93","Years 2000-2009","I Still Miss You","Keith Anderson"
"2000","3.48","Years 2000-2009","Epiphany (I'm Leaving)","Chrisette Michele"
"2000","3.76","Years 2000-2009","Forever & Always","Taylor Swift"
"2000","3.17","Years 2000-2009","See You Again","Miley Cyrus"
"2000","4.54","Years 2000-2009","Lot Of Leavin' Left To Do","Dierks Bentley"
"2000","1.35","Years 2000-2009","Should've Said No","Taylor Swift"
"2000","3.02","Years 2000-2009","It Happens","Sugarland"
"2000","4.13","Years 2000-2009","Tell Me Baby","Red Hot Chili Peppers"
"2000","4.02","Years 2000-2009","Unbroken","Tim McGraw"
"2000","3.14","Years 2000-2009","Too Much Of A Good Thing","Alan Jackson"
"2000","4.84","Years 2000-2009","When The Sun Goes Down","Kenny Chesney & Uncle Kracker"
"2000","5.38","Years 2000-2009","Somebody Like You","Keith Urban"
"2000","3.14","Years 2000-2009","Life's What You Make It","Hannah Montana"
"2000","3.08","Years 2000-2009","It's Good To Be Us","Bucky Covington"
"2000","5.11","Years 2000-2009","Good Time","Alan Jackson"
"2000","3.76","Years 2000-2009","Selfish","Slum Village Featuring Kanye West & John Legend"
"2000","3.03","Years 2000-2009","Good Little Girls","Blue County"
"2000","2.82","Years 2000-2009","""A Little Less Sixteen Candles, A Little More Touch Me""","Fall Out Boy"
"2000","3.61","Years 2000-2009","These Words","Natasha Bedingfield"
"2000","4.23","Years 2000-2009","The Business","Yung Berg Featuring Casha"
"2000","3.48","Years 2000-2009","That's When I Love You","Phil Vassar"
"2000","3.9","Years 2000-2009","Candy","Mandy Moore"
"2000","3.01","Years 2000-2009","He Could Be The One","Hannah Montana"
"2000","3.84","Years 2000-2009","Play","David Banner"
"2000","5.46","Years 2000-2009","Solitaire","Clay Aiken"
"2000","5.27","Years 2000-2009","Slow Jamz","Twista Featuring Kanye West & Jamie Foxx"
"2000","3.62","Years 2000-2009","Let's Get It Started","The Black Eyed Peas"
"2000","2.9","Years 2000-2009","Seventeen Forever","Metro Station"
"2000","4.63","Years 2000-2009","Southside","Lloyd Featuring Ashanti"
"2000","4.36","Years 2000-2009","Papers","Usher"
"2000","3.13","Years 2000-2009","Grace Kelly","MIKA"
"2000","4.57","Years 2000-2009","Wasted","Carrie Underwood"
"2000","4.36","Years 2000-2009","Go On Girl","Ne-Yo"
"2000","4.36","Years 2000-2009","Lips Of An Angel","Hinder"
"2000","5.14","Years 2000-2009","Call On Me","Janet & Nelly"
"2000","4.09","Years 2000-2009","Regret","LeToya Featuring Ludacris"
"2000","3.51","Years 2000-2009","La La La","LMFAO"
"2000","4.52","Years 2000-2009","Here To Stay","Korn"
"2000","4.01","Years 2000-2009","This Woman's Work","Maxwell"
"2000","4.02","Years 2000-2009","Sweetest Girl (Dollar Bill)","""Wyclef Jean Featuring Akon, Lil Wayne & Niia"""
"2000","3.17","Years 2000-2009","Lifestyles Of The Rich And Famous","Good Charlotte"
"2000","4.01","Years 2000-2009","It Feels So Good","Sonique"
"2000","4.12","Years 2000-2009","Braid My Hair","Mario"
"2000","4.57","Years 2000-2009","Unbreakable","Alicia Keys"
"2000","4.85","Years 2000-2009","The Christmas Shoes","NewSong"
"2000","3.75","Years 2000-2009","So Small","Carrie Underwood"
"2000","3.94","Years 2000-2009","Stay Fly","Three 6 Mafia Featuring Young Buck & Eightball & MJG"
"2000","4.47","Years 2000-2009","Say Yes","Floetry"
"2000","3.78","Years 2000-2009","Got Some Teeth","Obie Trice"
"2000","3.74","Years 2000-2009","Go!","Common"
"2000","3.87","Years 2000-2009","Tim McGraw","Taylor Swift"
"2000","3.96","Years 2000-2009","A Thousand Miles","Vanessa Carlton"
"2000","3.69","Years 2000-2009","Who Wouldn't Wanna Be Me","Keith Urban"
"2000","3.86","Years 2000-2009","People Are Crazy","Billy Currington"
"2000","4.62","Years 2000-2009","Electrical Storm","U2"
"2000","4.52","Years 2000-2009","Remember When","Alan Jackson"
"2000","3.61","Years 2000-2009","You Can Get It All","Bow Wow Featuring Johnta Austin"
"2000","4.06","Years 2000-2009","(When You Gonna) Give It Up To Me","Sean Paul Featuring Keyshia Cole"
"2000","3.73","Years 2000-2009","Stop And Stare","OneRepublic"
"2000","3.36","Years 2000-2009","Chrome","Trace Adkins"
"2000","3.83","Years 2000-2009","I Need You","LeAnn Rimes"
"2000","3.96","Years 2000-2009","Single","Natasha Bedingfield"
"2000","4.51","Years 2000-2009","I'm Gonna Getcha Good!","Shania Twain"
"2000","4.67","Years 2000-2009","Change","Taylor Swift"
"2000","4.91","Years 2000-2009","Megalomaniac","Incubus"
"2000","3.57","Years 2000-2009","What Hurts The Most","Rascal Flatts"
"2000","4.08","Years 2000-2009","Part II","Method Man & Redman"
"2000","3.51","Years 2000-2009","Chasing Pavements","Adele"
"2000","4.39","Years 2000-2009","American Soldier","Toby Keith"
"2000","3.74","Years 2000-2009","Let Me In","Young Buck"
"2000","3.63","Years 2000-2009","I Don't Want To Be","Gavin DeGraw"
"2000","4.12","Years 2000-2009","Angel","Natasha Bedingfield"
"2000","3.95","Years 2000-2009","Like A Boy","Ciara"
"2000","3.06","Years 2000-2009","I'm A Believer","Smash Mouth"
"2000","4.12","Years 2000-2009","Lean Back","Terror Squad"
"2000","3.65","Years 2000-2009","It Won't Be Like This For Long","Darius Rucker"
"2000","3.47","Years 2000-2009","Who Knew","P!nk"
"2000","4.1","Years 2000-2009","""Live, Laugh, Love""","Clay Walker"
"2000","4.28","Years 2000-2009","Dem Boyz","Boyz N Da Hood"
"2000","4.58","Years 2000-2009","If You're Gone","matchbox twenty"
"2000","3.67","Years 2000-2009","Sweetness","Jimmy Eat World"
"2000","3.85","Years 2000-2009","Won't Go Home Without You","Maroon 5"
"2000","6.34","Years 2000-2009","Hate Me","Blue October"
"2000","3.88","Years 2000-2009","Can't Let Go","Anthony Hamilton"
"2000","3.05","Years 2000-2009","Hey Good Lookin'","""Jimmy Buffett With Clint Black, Kenny Chesney, Alan Jackson, Toby Keith & George Strait"""
"2000","3.85","Years 2000-2009","Here We Go","Trina Featuring Kelly Rowland"
"2000","4.48","Years 2000-2009","My First Love","Avant Featuring KeKe Wyatt"
"2000","3.84","Years 2000-2009","How To Deal","Frankie J"
"2000","3.8","Years 2000-2009","Sweet Thing","Keith Urban"
"2000","4.3","Years 2000-2009","See You In My Nightmares","Kanye West Featuring Lil Wayne"
"2000","3.55","Years 2000-2009","3","Britney Spears"
"2000","3.82","Years 2000-2009","Go Getta","Young Jeezy Featuring R. Kelly"
"2000","3.26","Years 2000-2009","You And Me","Lifehouse"
"2000","4.21","Years 2000-2009","IfULeave","Musiq Soulchild Featuring Mary J. Blige"
"2000","4.13","Years 2000-2009","Come Back To Me","David Cook"
"2000","4.42","Years 2000-2009","Luxurious","Gwen Stefani"
"2000","3.54","Years 2000-2009","Gettin' You Home","Chris Young"
"2000","4.43","Years 2000-2009","How You Want That","Loon Featuring Kelis"
"2000","4.67","Years 2000-2009","Soul Survivor","Young Jeezy Featuring Akon"
"2000","3.99","Years 2000-2009","No Me Doy Por Vencido","Luis Fonsi"
"2000","5.07","Years 2000-2009","Blurry","Puddle Of Mudd"
"2000","3.71","Years 2000-2009","Lay Low","""Snoop Dogg Featuring Master P, Nate Dogg, Butch Cassidy & Tha Eastsidaz"""
"2000","3.83","Years 2000-2009","Laredo","Chris Cagle"
"2000","3.57","Years 2000-2009","I Don't Care","Fall Out Boy"
"2000","3.81","Years 2000-2009","I Can Transform Ya","Chris Brown Featuring Lil Wayne & Swizz Beatz"
"2000","4.13","Years 2000-2009","Not A Day Goes By","Lonestar"
"2000","4.05","Years 2000-2009","Stealing Cinderella","Chuck Wicks"
"2000","4.92","Years 2000-2009","Shake Ya Tailfeather","""Nelly, P. Diddy & Murphy Lee"""
"2000","4.1","Years 2000-2009","Feel The Girl","Ms. Jade"
"2000","3.53","Years 2000-2009","I Loved Her First","Heartland"
"2000","4.45","Years 2000-2009","Landed","Ben Folds"
"2000","3.68","Years 2000-2009","Couldn't Last A Moment","Collin Raye"
"2000","3.77","Years 2000-2009","Take It To Da House","Trick Daddy Featuring The SNS Express"
"2000","3.58","Years 2000-2009","Shake","Ying Yang Twins Featuring Pitbull"
"2000","3.77","Years 2000-2009","""Jesus, Take The Wheel""","Carrie Underwood"
"2000","3.7","Years 2000-2009","Rockin' That Thang","The-Dream"
"2000","3.74","Years 2000-2009","Show Me The Money","Petey Pablo"
"2000","4.1","Years 2000-2009","Dangerous","Kardinal Offishall Featuring Akon"
"2000","4.9","Years 2000-2009","Goin' Crazy","Natalie"
"2000","4.15","Years 2000-2009","When I Think About Cheatin'","Gretchen Wilson"
"2000","4.23","Years 2000-2009","Young Forever","Jay-Z + Mr. Hudson"
"2000","3.44","Years 2000-2009","Evacuate The Dancefloor","Cascada"
"2000","3.36","Years 2000-2009","Suddenly I See","KT Tunstall"
"2000","3.42","Years 2000-2009","Pop Bottles","Birdman Featuring Lil Wayne"
"2000","4.26","Years 2000-2009","I'm So Hood","""DJ Khaled Featuring T-Pain, Trick Daddy, Rick Ross & Plies"""
"2000","4.96","Years 2000-2009","Cleanin' Out My Closet","Eminem"
"2000","3.44","Years 2000-2009","Can't Help But Wait","Trey Songz"
"2000","4.57","Years 2000-2009","One Night Stand","J-Shin Featuring LaTocha Scott"
"2000","3.61","Years 2000-2009","Leavin'","Jesse McCartney"
"2000","4.19","Years 2000-2009","Ashes By Now","Lee Ann Womack"
"2000","3.45","Years 2000-2009","So Sick","Ne-Yo"
"2000","3.21","Years 2000-2009","My Drink N' My 2 Step","Cassidy Featuring Swizz Beatz"
"2000","3.44","Years 2000-2009","This Love","Maroon 5"
"2000","3.92","Years 2000-2009","Aerials","System Of A Down"
"2000","3.94","Years 2000-2009","Crawl","Chris Brown"
"2000","3.73","Years 2000-2009","How You Remind Me","Nickelback"
"2000","3.82","Years 2000-2009","Take A Bow","Rihanna"
"2000","4.28","Years 2000-2009","Favorite Girl","Justin Bieber"
"2000","3.78","Years 2000-2009","Lose Control","Missy Elliott Featuring Ciara & Fat Man Scoop"
"2000","3.92","Years 2000-2009","Watching You","Rodney Atkins"
"2000","4.08","Years 2000-2009","The Anthem","Pitbull Featuring Lil Jon"
"2000","3.66","Years 2000-2009","Love Sex Magic","Ciara Featuring Justin Timberlake"
"2000","4.82","Years 2000-2009","Just Be A Man About It","Toni Braxton"
"2000","3.76","Years 2000-2009","Sandstorm","Darude"
"2000","4.83","Years 2000-2009","Say Goodbye","Chris Brown"
"2000","4.09","Years 2000-2009","The Impossible","Joe Nichols"
"2000","3.75","Years 2000-2009","Obsession (No Es Amor)","Frankie J Featuring Baby Bash"
"2000","4.95","Years 2000-2009","Family Portrait","P!nk"
"2000","4.38","Years 2000-2009","Building Bridges","Brooks & Dunn With Sheryl Crow & Vince Gill"
"2000","3.99","Years 2000-2009","Your Everything","Keith Urban"
"2000","3.72","Years 2000-2009","Say It Right","Nelly Furtado"
"2000","3.06","Years 2000-2009","1234","Feist"
"2000","4.04","Years 2000-2009","Stronger Woman","Jewel"
"2000","3.02","Years 2000-2009","Hoedown Throwdown","Miley Cyrus"
"2000","2.81","Years 2000-2009","Fall Into Me","Emerson Drive"
"2000","4.75","Years 2000-2009","Girlfriend","Bow Wow & Omarion"
"2000","4.98","Years 2000-2009","Devils & Dust","Bruce Springsteen"
"2000","4.16","Years 2000-2009","Love Sets You Free","Kelly Price & Friends"
"2000","3.54","Years 2000-2009","Caramel","City High Featuring Eve"
"2000","3.61","Years 2000-2009","If U Seek Amy","Britney Spears"
"2000","4.1","Years 2000-2009","Country Boy","Alan Jackson"
"2000","3.7","Years 2000-2009","Love Like This","Natasha Bedingfield Featuring Sean Kingston"
"2000","3.82","Years 2000-2009","Soul Meets Body","Death Cab For Cutie"
"2000","2.55","Years 2000-2009","L.O.V.E.","Ashlee Simpson"
"2000","3.4","Years 2000-2009","Too Little Too Late","Barenaked Ladies"
"2000","4.29","Years 2000-2009","Lifeline","Papa Roach"
"2000","4.11","Years 2000-2009","Thinking Of You","Katy Perry"
"2000","4.03","Years 2000-2009","Come Home Soon","SHeDAISY"
"2000","4","Years 2000-2009","Honky Tonk Badonkadonk","Trace Adkins"
"2000","4.39","Years 2000-2009","Fireman","Lil Wayne"
"2000","4.68","Years 2000-2009","Wonderful","Everclear"
"2000","4.23","Years 2000-2009","A Woman's Love","Alan Jackson"
"2000","4.82","Years 2000-2009","Spanish Guitar","Toni Braxton"
"2000","3.99","Years 2000-2009","I'll Just Hold On","Blake Shelton"
"2000","4","Years 2000-2009","Speed","Montgomery Gentry"
"2000","4.28","Years 2000-2009","Shake Ya Ass","Mystikal"
"2000","3.57","Years 2000-2009","Jaded","Aerosmith"
"2000","3.67","Years 2000-2009","Maps","Yeah Yeah Yeahs"
"2000","3.87","Years 2000-2009","Without You","Hinder"
"2000","3.78","Years 2000-2009","Fidelity","Regina Spektor"
"2000","4.01","Years 2000-2009","You're Like Comin' Home","Lonestar"
"2000","4.63","Years 2000-2009","Unpretty","TLC"
"2000","3.01","Years 2000-2009","Notion","Kings Of Leon"
"2000","3.93","Years 2000-2009","Young","Kenny Chesney"
"2000","4.99","Years 2000-2009","Famous Last Words","My Chemical Romance"
"2000","4.53","Years 2000-2009","Don't Cha","The Pussycat Dolls Featuring Busta Rhymes"
"2000","4.77","Years 2000-2009","Girl Next Door","Musiq Soulchild Featuring Ayana"
"2000","5.71","Years 2000-2009","Travelin' Soldier","Dixie Chicks"
"2000","4.76","Years 2000-2009","Heartbreaker","Mariah Carey Featuring Jay-Z"
"2000","3.22","Years 2000-2009","Kiss Me Thru The Phone","Soulja Boy Tell 'em Featuring Sammie"
"2000","3.86","Years 2000-2009","Low","Flo Rida Featuring T-Pain"
"2000","3.41","Years 2000-2009","Funhouse","P!nk"
"2000","4.25","Years 2000-2009","What If A Woman","Joe"
"2000","4.55","Years 2000-2009","Hold You Down","Jennifer Lopez Featuring Fat Joe"
"2000","4.29","Years 2000-2009","Free Yourself","Fantasia"
"2000","4.22","Years 2000-2009","Same Girl","R. Kelly Duet With Usher"
"2000","3.63","Years 2000-2009","Wake Up","Hilary Duff"
"2000","3.79","Years 2000-2009","Let Me Go","3 Doors Down"
"2000","4.35","Years 2000-2009","Enough Cryin","Mary J. Blige Featuring Brook-Lyn"
"2000","4.26","Years 2000-2009","Otherside","Red Hot Chili Peppers"
"2000","2.84","Years 2000-2009","Love Your Love The Most","Eric Church"
"2000","3.64","Years 2000-2009","Living And Living Well","George Strait"
"2000","3.4","Years 2000-2009","The Best Day","George Strait"
"2000","3.34","Years 2000-2009","(There's Gotta Be) More To Life","Stacie Orrico"
"2000","3.54","Years 2000-2009","This Is The Night","Clay Aiken"
"2000","3.91","Years 2000-2009","Gossip Folks","""Missy """"Misdemeanor"""" Elliott Featuring Ludacris"""
"2000","4.77","Years 2000-2009","Raise Up","Petey Pablo"
"2000","4.63","Years 2000-2009","Cuddy Buddy","Mike Jones Featuring Trey Songz & Twista"
"2000","4.2","Years 2000-2009","NAStradamus","Nas"
"2000","3.5","Years 2000-2009","No Boundaries","Kris Allen"
"2000","3.9","Years 2000-2009","I Dare You","Shinedown"
"2000","4.76","Years 2000-2009","Wake Me Up When September Ends","Green Day"
"2000","3.65","Years 2000-2009","You're A God","Vertical Horizon"
"2000","3.12","Years 2000-2009","Lookin' For A Good Time","Lady Antebellum"
"2000","3.57","Years 2000-2009","U + Ur Hand","P!nk"
"2000","3.85","Years 2000-2009","Paint Me A Birmingham","Tracy Lawrence"
"2000","4.41","Years 2000-2009","Nothin'","N.O.R.E."
"2000","4.05","Years 2000-2009","I'm Movin' On","Rascal Flatts"
"2000","3.97","Years 2000-2009","Far Away","Nickelback"
"2000","4.31","Years 2000-2009","Goodbye My Lover","James Blunt"
"2000","3.61","Years 2000-2009","Bring Em Out","T.I."
"2000","3.8","Years 2000-2009","What Would You Do?","The Isley Brothers Featuring Ronald Isley"
"2000","4.26","Years 2000-2009","Don't Ask Me How I Know","Bobby Pinson"
"2000","4.27","Years 2000-2009","Sour Girl","Stone Temple Pilots"
"2000","3.98","Years 2000-2009","Disturbia","Rihanna"
"2000","3.99","Years 2000-2009","Leave (Get Out)","JoJo"
"2000","4.33","Years 2000-2009","Bouncin' Back (Bumpin' Me Against The Wall)","Mystikal"
"2000","3.69","Years 2000-2009","Dance Tonight","Lucy Pearl"
"2000","3.92","Years 2000-2009","Entourage","Omarion"
"2000","5.57","Years 2000-2009","Get Low","Lil Jon & The East Side Boyz Featuring Ying Yang Twins"
"2000","4.44","Years 2000-2009","Take Me There","Rascal Flatts"
"2000","3.46","Years 2000-2009","Breathless","The Corrs"
"2000","5.32","Years 2000-2009","Crybaby","Mariah Carey Featuring Snoop Dogg"
"2000","4.07","Years 2000-2009","Can't Nobody","Kelly Rowland"
"2000","5.46","Years 2000-2009","Only God Knows Why","Kid Rock"
"2000","3.58","Years 2000-2009","Why You Wanna","T.I."
"2000","4.78","Years 2000-2009","Mrs. Officer","Lil Wayne Featuring Bobby Valentino & Kidd Kidd"
"2000","4.77","Years 2000-2009","E.I.","Nelly"
"2000","4.17","Years 2000-2009","What About Us?","Brandy"
"2000","4.73","Years 2000-2009","No More Rain (In This Cloud)","Angie Stone"
"2000","3.64","Years 2000-2009","My Little Girl","Tim McGraw"
"2000","3.39","Years 2000-2009","True","Ryan Cabrera"
"2000","4.62","Years 2000-2009","Perfect","Simple Plan"
"2000","3.63","Years 2000-2009","Love Of A Woman","Travis Tritt"
"2000","3.88","Years 2000-2009","Shake It Off","Mariah Carey"
"2000","4.08","Years 2000-2009","Monica","Before Dark"
"2000","4.8","Years 2000-2009","Who We Be","DMX"
"2000","3.37","Years 2000-2009","Crazy For This Girl","Evan And Jaron"
"2000","3.87","Years 2000-2009","Don't Stop Believin'","Glee Cast"
"2000","3.62","Years 2000-2009","Lovin' All Night","Patty Loveless"
"2000","4.22","Years 2000-2009","Concrete Angel","Martina McBride"
"2000","3.9","Years 2000-2009","I Melt","Rascal Flatts"
"2000","4.39","Years 2000-2009","I'm So Paid","Akon Featuring Lil Wayne & Young Jeezy"
"2000","4.16","Years 2000-2009","Wasted","Gucci Mane Featuring Plies Or OJ Da Juiceman"
"2000","4.28","Years 2000-2009","You Know I'm No Good","Amy Winehouse"
"2000","3.25","Years 2000-2009","Hollywood's Not America","Ferras"
"2000","4.41","Years 2000-2009","Loser","3 Doors Down"
"2000","3.06","Years 2000-2009","Give It Up To Me","Shakira Featuring Lil Wayne"
"2000","4.63","Years 2000-2009","Show Me How To Live","Audioslave"
"2000","4.18","Years 2000-2009","Kiss Kiss","Chris Brown Featuring T-Pain"
"2000","3.99","Years 2000-2009","Baby Girl","Sugarland"
"2000","3.74","Years 2000-2009","Hush Lil' Lady","Corey Featuring Lil' Romeo"
"2000","4.34","Years 2000-2009","Lovers And Friends","Lil Jon & The East Side Boyz Featuring Usher & Ludacris"
"2000","4","Years 2000-2009","Amazed","Lonestar"
"2000","3.59","Years 2000-2009","Fallin' For You","Colbie Caillat"
"2000","7.18","Years 2000-2009","Untitled (How Does It Feel)","D'Angelo"
"2000","3.6","Years 2000-2009","Time's Up!","Jadakiss Featuring Nate Dogg"
"2000","4.29","Years 2000-2009","Smoke Rings In The Dark","Gary Allan"
"2000","4.43","Years 2000-2009","Babylon","David Gray"
"2000","3.88","Years 2000-2009","Ride","Martina McBride"
"2000","4.66","Years 2000-2009","Stay Or Let It Go","Brian McKnight"
"2000","3.62","Years 2000-2009","By The Way","Red Hot Chili Peppers"
"2000","3.8","Years 2000-2009","Do You","Ne-Yo"
"2000","4.3","Years 2000-2009","Treat Her Like A Lady","Joe"
"2000","3.57","Years 2000-2009","Beautiful Soul","Jesse McCartney"
"2000","3.69","Years 2000-2009","Thoia Thoing","R. Kelly"
"2000","3.45","Years 2000-2009","You Can't Always Get What You Want","Glee Cast"
"2000","3.38","Years 2000-2009","Don't Happen Twice","Kenny Chesney"
"2000","3.34","Years 2000-2009","Get Back","Demi Lovato"
"2000","3.8","Years 2000-2009","A Moment Like This","Kelly Clarkson"
"2000","3.59","Years 2000-2009","So Yesterday","Hilary Duff"
"2000","3.35","Years 2000-2009","Free And Easy (Down The Road I Go)","Dierks Bentley"
"2000","3.51","Years 2000-2009","Take Me On The Floor","The Veronicas"
"2000","3.72","Years 2000-2009","Chicken Noodle Soup.","Webstar & Young B Featuring The Voice Of Harlem"
"2000","5.15","Years 2000-2009","Thank You For Loving Me","Bon Jovi"
"2000","3.33","Years 2000-2009","Hate To Say I Told You So","The Hives"
"2000","4.83","Years 2000-2009","Blame It","Jamie Foxx Featuring T-Pain"
"2000","3.93","Years 2000-2009","Save Room","John Legend"
"2000","4.38","Years 2000-2009","""Can't Stop, Won't Stop""","Young Gunz"
